# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=turkish,Türkçe
	ICON=Icons/turkish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_NS=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PS4=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PS4=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_XB1=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_XB1=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PC=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PC=
		Bu simge görüntülendiğinde
		bilgisayarınızı kapatmayın

# Main Menu
	MENU_DEBUG=		~DEBUG~
	MENU_BEGIN=		TIRMAN
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	Ayarlar
	MENU_CREDITS=	Emeği Geçenler
	MENU_EXIT=		Çıkış

# Options
	OPTIONS_TITLE=			AYARLAR
	OPTIONS_CONTROLS=		KONTROLLER
	OPTIONS_RUMBLE_PC=		Titreşim
	OPTIONS_RUMBLE_PS4=		Titreşim
	OPTIONS_RUMBLE_XB1=		Titreşim
	OPTIONS_RUMBLE_NS=		Titreşim
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=	50%
	OPTIONS_RUMBLE_OFF=		Kapalı
	OPTIONS_KEYCONFIG=		Klavye Tuş Atamaları
	OPTIONS_BTNCONFIG=		Oyun Kolu Tuş Atamaları

	OPTIONS_VIDEO=			GÖRÜNTÜ
	OPTIONS_FULLSCREEN=		Tam Ekran
	OPTIONS_WINDOW=			Pencere
	OPTIONS_VSYNC=			Dikey Senkronizasyon
	OPTIONS_VIEWPORT_NS=	Ekran Boyutunu Ayarla
	OPTIONS_VIEWPORT_PS4=	Ekran Boyutunu Ayarla
	OPTIONS_VIEWPORT_XB1=	Ekran Boyutunu Ayarla
	OPTIONS_VIEWPORT_PC=	Ekran Boyutunu Ayarla
	OPTIONS_DISABLE_FLASH=	Işığa Duyarlı Modu
	OPTIONS_DISABLE_SHAKE=	Ekran Sarsıntısı Efekti

	OPTIONS_AUDIO=			SES
	OPTIONS_MUSIC=			Muzik
	OPTIONS_SOUNDS=			Ses

	OPTIONS_GAMEPLAY=		OYNANIŞ
	OPTIONS_SPEEDRUN=		Speedrun Sayacı
	OPTIONS_SPEEDRUN_CHAPTER=Bölüm
	OPTIONS_SPEEDRUN_FILE=	Dosya
	OPTIONS_DASHES=			Sıçrama Sayacı
	OPTIONS_LANGUAGE=		Dil
	OPTIONS_ON=				AÇIK
	OPTIONS_OFF=			KAPALI

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		Klavye Ayarları
	KEY_CONFIG_MOVEMENT=	HAREKET
